"Gross Average Monthly Wages by Country and Year"

"Indicator";"Country";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"US$, at current Exchange Rates";"Netherlands";2584.8;2625.0;2854.0;2672.8;2802.4;3083.4;3036.4;2787.1;2711.4;2673.6;2451.9;2495.1;2738.5;3374.1;3811.5;3879.2;4020.2;4537.3;5008.2;4884.7;4713.9;5034.2;4705.3;4995.0;5003.7;4270.6;4308.5
"US$, at current Exchange Rates";"Norway";2463.1;2490.5;2672.4;2413.3;2506.3;2876.8;2946.1;2810.5;2801.8;2856.6;2632.4;2695.0;3212.4;3758.6;4126.1;4478.9;4767.7;5506.7;6110.6;5655.6;6053.4;6841.9;6828.0;7026.5;6755.1;5401.2;5262.8
"US$, at current Exchange Rates";"Poland";..;..;304.2;308.2;330.8;411.3;471.6;466.6;499.2;499.2;509.2;592.6;611.9;654.3;717.0;821.5;874.2;1035.2;1314.1;1036.3;1124.2;1201.4;1115.6;1169.0;1195.6;1010.4;1013.0
"US$, at current Exchange Rates";"Portugal";..;..;..;..;..;1057.4;1093.0;1031.2;1060.4;1067.1;971.7;982.3;1074.4;1324.2;1496.6;1545.8;1580.0;1796.7;1973.6;1915.6;1850.9;1932.2;1734.0;1843.0;1816.2;1520.3;1528.8
"US$, at current Exchange Rates";"Romania";..;80.8;43.1;83.9;100.5;128.6;120.7;110.5;152.4;127.7;133.4;147.5;164.9;203.1;253.7;331.9;409.5;579.2;689.6;624.4;609.5;667.2;614.8;673.5;705.6;638.8;711.6
"US$, at current Exchange Rates";"Russian Federation";..;..;..;59.2;..;..;154.3;164.3;108.4;61.8;79.0;111.1;139.1;179.2;233.9;302.5;391.1;531.4;695.7;587.2;689.9;795.3;863.5;935.8;..;..;..
"US$, at current Exchange Rates";"Serbia";..;..;..;..;..;..;..;232.5;153.8;87.2;69.5;129.1;205.9;288.5;352.1;382.4;472.8;662.8;819.6;653.2;610.4;719.1;652.8;712.9;694.8;561.9;570.4
"US$, at current Exchange Rates";"Slovakia";..;..;..;..;258.9;329.5;362.5;384.4;418.8;426.5;416.9;425.6;486.4;633.7;761.2;831.0;908.8;1081.2;1225.5;1202.4;1204.5;1300.5;1227.4;1297.1;1319.9;1139.3;1161.9
"US$, at current Exchange Rates";"Slovenia";..;..;..;..;..;..;..;..;..;..;..;..;1078.2;1383.7;1643.3;1740.2;1864.2;2165.4;2482.7;2399.5;2382.8;2542.5;2312.1;2398.1;2438.1;2066.0;2099.0
"US$, at current Exchange Rates";"Spain";1249.6;1326.2;1520.1;1455.1;1555.0;1787.3;1811.5;1662.9;1673.0;1620.3;1436.4;1437.2;1574.3;1936.0;2187.7;2275.0;2368.9;2702.8;3127.3;3138.8;2986.0;3165.6;2907.8;3040.0;3040.4;2559.2;2552.7
